filename,speaker,tags,transcription,
%23CUCKLIFE.mp3,tim,"cucklife, hashtag, cuck",hashtag cucklife,
%23SLUT.mp3,unknown man,"slut, hashtag",hashtag slut,
(LARRY)%20JIMBO.wav,larry,jimbo,"no you need to do it both, jimbo",
10%20GAY%20GUYS.mp3,tim,"gay, gays, guys",lets line up 10 gay guys,
15%20BOYS%20WAITIN%20FOR%20ME.wav,weezer,"boys, weezer",15 boys waiting for me,
1s%20and%202s.wav,tim,"dj, scratch pad",dj,
2%20GUYS%20IN%20THE%20SHOWER.wav,weezer,"guys, guy, shower",just two guys in the shower,
2%20INCHES%20BE%20SMALL.mp3,tim,"small, inch",2 inch would be really small,
2-6%20Twink%20hit%20car.wav,doug,"twink, twinks, car","so a twink hit your car, is what youre saying",
20%20Twinks.mp3,doug,"twink, twinks, surrounded",I was surrounded by 20 twinks,
3%20HOT%20GUYS.mp3,tim,"hot guys, hot, guys",were 3 hot guys!,
4%20QUARTERS.wav,jeff fischer,"football, football game, 4 quarters",this game is 4 quarters long,
5th.mp3,unknown man,"fifth, 5th",fifth?!,
"8-21%20Show%20pony,%20stable%20boy.wav",willy,"show pony, pony, stable boy","Im a show pony, hes more of a stable boy",
9-3%20Dumped%20her.wav,plowboy,"dumped, dump",I dumped her!,
A%20WINK.wav,cat,wink,"He gave me a wink, like you better believe it mister",
AARRRRRRGH.wav,tim taylor,"home improvement, tim taylor",signature tim taylor argh noise,
ABSOLUTE%20DELIGHT.wav,cat,delight,You have been an absolute delight!,
ABSOLUTELY.wav,unknown man,absolutely ,"yea, absolutely",
ACEE%20LAUGH.mp3,unknown man,"laugh, laughing","ha, ha",
ACT%20TOGETHER.wav,caller douglas,"act together, douglas",he better get his act together,
ACTIONS%20SPEAK%20LOUDER.mp3,plowboy,actions speak louder than words,"well, actions speak louder than, you know",
ADD%20MUSTARD.mp3,plowboy,"mustard, plowboy, boom, it s over",you know you add the mustard and boom its over,
ADMIRE%20TIM.mp3,unknown woman,"admire tim, woman","like I said, I admire tim",
ADMIT%20I%20WAS%20DRUNK.wav,weezer,"admit, drunk, weezer","Ill admit, I was drunk",
AFFECTION%20FOR%20DOUG.mp3,cat charlie,"glorious man, I love you","youre a glorious man, you really are, I love you",
AGREE%20TO%20DISAGREE.mp3,unknown woman,agree to disagree,"Im going to agree to disagree, agreeably ",
AH%20YEA-JIM%20THOMAS.mp3,jim thomas,"yea, jim thomas","uhhhh, yea",
AHHHHH.wav,tim,"disgust, ahh",ahhhhhhhh,
AINT%20CHANGIN.wav,doug,"changing, changin, nothin",we aint changin nothin,
ALL%20OVER%20MY%20CHEST.mp3,tim,"pop, chest",could it pop all over my chest,
ALL%20THE%20JEWS-TIMBERFAKE.mp3,timberfake,"jews, timberfake",get all them jews in there,
ALL%20TIME%20CATCHER.wav,willy,catcher,I believe Ill be the all time catcher,
ALLEN%20CRAIG%20PISSED.wav,tim,"allen craig, pissed",how pissed though do you think allen craig is?,
ALLTHESAME.wav,charlie,all the same,theyre all the same,
ALMOST%20OVER.mp3,john mozeliak ,"is this almost over, interview, guest",is this almost over?,
ALOT%20OF%20LEGS.mp3,janie the lesbian,"legs, lesbian, janny",theres a lot of legs involved,
ALPENA-FREE%20DOTEM.mp3,alpena,"free dotem, #freedotem, alpena, deke",I think were getting to that point where you gotta free dotem,
ALRIGHT%20ALRIGHT.wav,matthew mcconaughey,"alright, mcconaughey",alright alright alright,
ALRIGHT%20PAL.wav,cat,"alright, pal",alright pal!,
ALWAYS%20OPENING%20MOUTH.mp3,tim,"opening mouth, doug ",Dougs always opening his mouth,
AMEN.wav,joe strauss,"amen, jesus",Amen,
AMERICA%20AMERICA.wav,willy,america,"america, america, this is you",
ANAL%20AT%20SBARRO.mp3,tim,"anal, sbarro",go up to sbarro and have anal,
AND%20I%20QUOTE.wav,larry ,"quote, larry",and I quote!,
ANGRY%20TROLL.mp3,unknown,angry old troll,youre an angry old troll!,
ANYTHING%20ELSE.mp3,larry,anything else,anything else?,
APACHE%20SCREAM.mp3,apache,"scream, apache",*apache scream*,
ARE%20YOU%20TALKING%20TO%20ME.mp3,unknown woman,"woman, talking to me",are you talking to me?,
ARROGANT%20PRICK.wav,barry switzer,"johnny manziel, barry switzer, prick, arrogant",arrogant little prick,
ASK%20MYSELF.wav,tim,"dont know, dunno","who knows, hey I dunno, listen I dont know, do I know?  No I dont",
ATTRACTIVE%20GUY.mp3,charlie,"guy, attractive",I think youre an attractive guy!,
AUDIENCE%20IS%20SO%20SEXUAL.mp3,tim,"audience, sexual",our audience is so sexual!,
AUTOMOBILE%20IN%20MY%20MOUTH.mp3,Rich from Maryland Heights,"mouth, automobile, caller rich, maryland heights",he doesnt even know what automobile he is trying to put in my mouth,
AW%20YEA%20SURE.wav,willy,"sure, yea ",awwww yea sure!,
AWFUL%20COUGH.wav,cat,"cough, sick",*cough cough*,
Anthracite.mp3,willy,"grey, anthracite, jerseys, mizzou football","wheres the grey, wheres the anthracite",
AskFixings.wav,stevie janowski,"fixins, kenny power, eastbound and down",,
BABE%20IN%20WOODS.mp3,bull,"bull, babe","youre just a babe in the woods, my friend",
BACHELOR%20TATOO.mp3,unknown woman,"bachelor, bachelorette, tattoo",my tattoo says you cant someone love someone else until you truly love yourself,
BACK%20DOOR.wav,plowboy,"backdoor, plowboy",my backdoor doesnt open,
BACK%20TO%20YOU%20TIM.mp3,tom,"tom, salt and smoke",back to you tim,
BACK%20TO%20YOU.mp3,doug,"news, broadcast, television, steve","thatll do it.  Back to you, Steve",
